source,source_url,date_posted,company,title,category,location,job_type,tags_raw,description
Arbeitnow API,https://www.arbeitnow.com/jobs/companies/autohaus-wormser-gmbh/service-assistent-in-vollzeit-erlangen-432849,2026-09-17T09:00:53,Autohaus Wormser GmbH,Service Assistent (m/w/d) in Vollzeit,Customer Service,Erlangen,,Customer Service,"Autohaus Wormser GmbH, ein renommierter Händler für Kraftfahrzeuge, bietet eine spannende Karrieremöglichkeit als Service Assistent (m/w/d) in Vollzeit. Mit Standorten in Erlangen-Tennenlohe, Forchheim und Coburg, sind wir stolz auf unsere Unternehmenswerte wie Zugehörigkeit, Gemeinschaft, Antrieb, Bildung, Fairness, gegenseitiger Respekt, Offenheit, Verantwortung und Teamarbeit. Unsere Mission ist es, Mobilität persönlich, regional und digital erlebbar zu machen. Bewerben Sie sich jetzt und werden Sie Teil unserer dynamischen und respektvollen Gemeinschaft. Aufgaben Abgleich der Werkstattkapazität und Pflege im Terminplanungssystem Sicherstellung der Kundenmobilität Prüfung der Teileverfügbarkeit bei der Terminvergabe Durchführung des Telefondienstes für den Service Kundenbetreuung Qualifikation Erfolgreich abgeschlossene (kaufmännische oder technische) Berufsausbildung (w/m/d) Gewissenhaftigkeit, Kundenorientierung sowie Team- und Kommunikationsfähigkeit Berufserfahrung in der Automobilbranche (von Vorteil) Benefits Unbefristetes Arbeitsverhältnis nach der Probezeit Prämien Urlaubs-und Weihnachtsgeld Vermögenswirksame Leistungen 30 Tage Urlaub Bikeleasing Weiterbildungen durch die BMW AG Kostenfreier Kaffee und Tee sowie Parkplätze auf dem Gelände Betriebsfeiern Möchten Sie Teil eines renommierten Autohauses werden und Ihre Leidenschaft für Kundenservice ausleben? Bewerben Sie sich jetzt als Service Assistent (m/w/d) in Vollzeit! Find more English Speaking Jobs in Germany on Arbeitnow"
Arbeitnow API,https://www.arbeitnow.com/jobs/companies/primark-mode-ltd-co-kg/people-culture-supervisor-personalsachbearbeiter-in-kiel-396257,2026-09-17T09:00:51,Primark Mode Ltd. & Co. KG,People & Culture Supervisor / Personalsachbearbeiter (w/m/d) in Kiel,HR,Kiel,berufseinstieg,HR,"Du hast erste Erfahrungen im Personalbereich gesammelt oder eine fachspezifische Ausbildung absolviert? Du bist gerne ein*e Ansprechpartner*in für unser Store Team? Wir sind auf der Suche nach herzlichen Personen, die uns serviceorientiert als People &#x26; Culture Supervisor / Personalsachbearbeiter (w/m/d) unterstützen. Unsere People and Culture (HR) Kolleg*innen bilden die Fachabteilung Personal in der Filiale und zeichnen sich durch ihren aktiven Umgang mit unserem Management- und dem Verkaufsteam vor Ort aus. Somit tragen sie maßgeblich zum Erfolg unserer PRIMARK Filiale bei. Aufgaben Du beantwortest Rückfragen unserer Mitarbeiter*innen zu HR Themen Du bist offen für Anregungen und Austausch mit unseren Kolleg*innen und erkennst Handlungsbedarfe Du stellst eine positive Mitarbeiter-Wahrnehmung sicher Du bearbeitest personaladministrative Themen, wie das Vertrags- und das Bescheinigungswesen Du überprüfst die Daten des Zeitwirtschaftssystems Du pflegst die Mitarbeiterstammdaten Du übernimmst vor- und nachbereitende Payroll-Tätigkeiten Du rekrutierst neue Kolleg*innen und ermöglichst ihnen einen gut vorbereiteten Start Qualifikation Erste Erfahrungen im Personalbereich oder eine fachspezifische Ausbildung/ Studium Wir freuen uns auf deine Bewerbung! Dein PRIMARK Recruitment Team Bewerbungen von Menschen mit Schwerbehinderung und ihnen Gleichgestellte sind herzlich willkommen. Für diesen Arbeitsplatz findet der jeweils regionalgültige Tarifvertrag für den Einzelhandel Anwendung. Find more English Speaking Jobs in Germany on Arbeitnow"
Arbeitnow API,https://www.arbeitnow.com/jobs/companies/as-talentbridge/strategischer-einkaufer-senior-buyer-konstruktiver-stahlbau-zweibrucken-405154,2026-09-17T09:00:51,AS-Talentbridge,Strategischer Einkäufer / Senior Buyer - Konstruktiver Stahlbau (m/w/d),Management,Zweibrücken,,Management; Team Leader,"AS Talentbridge ist Ihr idealer Ansprechpartner für Personalbeschaffung und Beratung sowie die Anlaufstelle für Sie als Bewerber. Wir unterstützen Sie mit unserem umfassenden Branchenwissen in der DACH Region und bringen über 10 Jahre Erfahrung mit. AS Talentbridge steht für Fortschritt und Innovation. Wir sind überzeugt, dass Stillstand ein Rückschritt ist und setzen uns dafür ein, sowohl Unternehmen als auch Bewerbern zu helfen, gemeinsam etwas zu bewegen und zu wachsen. Aufgaben Entwicklung und Umsetzung von Warengruppenstrategien im Bereich Stahl (Bleche, Profile, Schmiedeteile, Guss) Analyse nationaler und internationaler Beschaffungsmärkte Auswahl, Qualifizierung und Entwicklung von Lieferanten Eigenständige Verhandlung von Rahmenverträgen, Preis- und Konditionsvereinbarungen Durchführung von Kostenanalysen und Umsetzung von Einsparpotenzialen Enge Zusammenarbeit mit Konstruktion, Produktion und Qualitätssicherung Risikomanagement in der Lieferkette (Verfügbarkeit, Preisvolatilität, geopolitische Risiken) Unterstützung bei Make-or-Buy-Entscheidungen Klärung von Eskalationen innerhalb der Supply Chain Qualifikation Erfolgreich abgeschlossenes Studium im Bereich Wirtschaftsingenieurwesen, Betriebswirtschaft, Maschinenbau oder vergleichbar Mehrjährige Berufserfahrung im strategischen Einkauf, idealerweise in der Industrie- oder einer daran angelehnten Branche. Neugierde und Leidenschaft für Technik und wirtschaftiche Zusammenhänge Sicheres Auftreten und Durchsetzungsvermögen insbesondere bei Verhandlungen Erfahrung im Umgang mit internationalen Lieferanten Sicherer Umgang mit ERP-Systemen (z. B. SAP) und MS Office Analytische, strukturierte und selbstständige Arbeitsweise Verhandlungssichere Deutsch- und Englischkenntnisse Hohe Reisebereitschaft Benefits Einen unbefristeten Arbeitsvertrag, flexible Arbeitszeiten, 30 Urlaubstage Attraktives Entgelt Vielseitige und verantwortungsvolle Aufgaben mit einem hohen Maß an Eigenverantwortung Spannende Produkte, internationales Unternehmen mit weltweitem Händler-, Kunden- und Kollegennetzwerk Mitarbeiterkantine am Standort Corporate Benefits Programm mit Mitarbeiterrabatten bei bekannten Marken &#x26; Anbietern Unsere Beschäftigten erhalten eine für sie kostenlose Unfallversicherung, die auch bei Unfällen in der Freizeit weltweit Versicherungsschutz bietet Find Jobs in Germany on Arbeitnow"
Arbeitnow API,https://www.arbeitnow.com/jobs/companies/autohaus-wormser-gmbh/service-assistent-in-vollzeit-coburg-368404,2026-09-17T09:00:51,Autohaus Wormser GmbH,Service Assistent (m/w/d) in Vollzeit,Customer Service,Coburg,,Customer Service,"Autohaus Wormser GmbH, ein renommierter Händler für Kraftfahrzeuge, bietet eine spannende Karrieremöglichkeit als Service Assistent (m/w/d) in Vollzeit. Mit Standorten in Erlangen-Tennenlohe, Forchheim und Coburg, sind wir stolz auf unsere Unternehmenswerte wie Zugehörigkeit, Gemeinschaft, Antrieb, Bildung, Fairness, gegenseitiger Respekt, Offenheit, Verantwortung und Teamarbeit. Unsere Mission ist es, Mobilität persönlich, regional und digital erlebbar zu machen. Bewerben Sie sich jetzt und werden Sie Teil unserer dynamischen und respektvollen Gemeinschaft. Aufgaben Abgleich der Werkstattkapazität und Pflege im Terminplanungssystem Sicherstellung der Kundenmobilität Prüfung der Teileverfügbarkeit bei der Terminvergabe Durchführung des Telefondienstes für den Service Kundenbetreuung Qualifikation Erfolgreich abgeschlossene (kaufmännische oder technische) Berufsausbildung (w/m/d) Gewissenhaftigkeit, Kundenorientierung sowie Team- und Kommunikationsfähigkeit Berufserfahrung in der Automobilbranche (von Vorteil) Benefits Unbefristetes Arbeitsverhältnis nach der Probezeit Prämien Urlaubs-und Weihnachtsgeld Vermögenswirksame Leistungen 30 Tage Urlaub Bikeleasing Weiterbildungen durch die BMW AG Kostenfreier Kaffee und Tee sowie Parkplätze auf dem Gelände Betriebsfeiern Möchten Sie Teil eines renommierten Autohauses werden und Ihre Leidenschaft für Kundenservice ausleben? Bewerben Sie sich jetzt als Service Assistent (m/w/d) in Vollzeit! Find Jobs in Germany on Arbeitnow"
Arbeitnow API,https://www.arbeitnow.com/jobs/companies/smartlogy-sicherheitstechnik-gmbh/werkstudent-pflichtpraktikant-grafikdesign-marketing-hanover-137964,2026-09-17T09:00:51,Smartlogy Sicherheitstechnik GmbH,Werkstudent/Pflichtpraktikant (m/w/d) Grafikdesign/Marketing,Marketing and Communication,Hanover,Working student,Marketing and Communication,"Sicherheit, Technik &#x26; digitale Sichtbarkeit – werde Teil unseres Teams! Wir sorgen dafür, dass Menschen, Gebäude und Baustellen sicherer sind. Als Unternehmen im Bereich Sicherheitstechnik und mobile Baustellenüberwachung bieten wir innovative Lösungen, wenn es um Schutz, Überwachung und Sicherheit geht. Dabei arbeiten wir mit ganz unterschiedlichen Kunden: von Privatkunden und Unternehmen bis hin zu öffentlichen Auftraggebern. Diese Vielfalt macht nicht nur unsere Projekte abwechslungsreich, sondern bietet auch jede Menge spannenden Content für unser Marketing. Damit unsere Leistungen und unsere Projekte auch digital die Aufmerksamkeit bekommen, die sie verdienen, suchen wir Verstärkung im Marketing mit Schwerpunkt Social Media . Du hast Spaß daran, kreative Inhalte zu entwickeln, unsere Projekte in Szene zu setzen und unsere Marke auf Social Media sichtbar zu machen? Du kennst die aktuellen Trends, hast ein gutes Gespür für Bilder, Videos und Texte und möchtest eigene Ideen einbringen? Dann freuen wir uns darauf, dich kennenzulernen! Aufgaben Erstellung von Grafiken und Layouts für Websites, Newsletter, Social Media und Werbemittel Durchführung von Bildrecherchen und Bildbearbeitungen Pflege und Weiterentwicklung des Corporate Designs Unterstützende Begleitung von Kampagnen und Online-Marketing-Aktivitäten Social-Media-Kanäle sowie Website aktiv pflegen und ausbauen evtl. das Erstellen von Newslettern Qualifikation Kreative Ideen und Eigeninitiative Sichere Beherrschung der deutschen Sprache in Wort und Schrift Selbstständige Arbeitsweise Engagement und Motivation Benefits Offenheit für deine kreativen Ideen und Unterstützung zur selbstständigen Umsetzung Diverse Benefits und firmeninterne Vergünstigungen Junges und dynamisches Team in familiärer Atmosphäre Flexible Arbeitszeit und Arbeitsort Bewirb dich ganz unkompliziert. Ein kurzes Anschreiben oder ein paar Worte zu dir - wir freuen uns auf deine Nachricht, gerne per E-Mail! Smartlogy Sicherheitstechnik GmbH Carina Jeske Friedrich-Ebert-Str. 27 30459 Hannover Find more English Speaking Jobs in Germany on Arbeitnow"
Arbeitnow API,https://www.arbeitnow.com/jobs/companies/prime-hr-agentur/ingenieur-techniker-gebaudetechnik-hls-tga-2-tage-home-office-munich-457036,2026-09-17T09:00:51,PRIME HR Agentur®,Ingenieur / Techniker Gebäudetechnik HLS/TGA (m/w/d) - 2 Tage Home Office,Engineering,Munich,,Engineering,"Für ein etabliertes, inhabergeführtes Planungsunternehmen im Raum München suchen wir zum nächstmöglichen Zeitpunkt einen Ingenieur / Techniker Gebäudetechnik (m/w/d) mit Schwerpunkt HLS/TGA . Das Unternehmen ist im Bereich der technischen Gebäudeausrüstung tätig und betreut anspruchsvolle Projekte im Neu- und Bestandsbau. Der Schwerpunkt liegt auf der Planung und Umsetzung moderner Anlagen in den Bereichen Heizung, Lüftung und Sanitär. Aufgaben Planung und Projektierung anspruchsvoller Anlagen der technischen Gebäudeausrüstung Begleitung der Projekte von der Konzeption bis zur Fertigstellung Bearbeitung der Leistungsphasen 1–9 nach HOAI Dimensionierung und Auslegung versorgungstechnischer Anlagen mithilfe entsprechender Berechnungssoftware Erstellung, Bearbeitung und Prüfung von Entwurfs- und Ausführungsplänen Abstimmung mit Architekten, Fachplanern, Kunden, ausführenden Unternehmen und Lieferanten Technische Betreuung der Projekte während der verschiedenen Planungs- und Umsetzungsphasen Koordination und Überwachung der technischen Schnittstellen Sicherstellung einer fachgerechten, wirtschaftlichen und normgerechten Planung Eine disziplinarische Personalverantwortung ist mit der Position nicht verbunden. Qualifikation Abgeschlossenes Studium im Bereich Versorgungstechnik, Gebäudetechnik, Energie- und Gebäudetechnik oder eine vergleichbare Qualifikation Alternativ eine abgeschlossene Ausbildung mit Weiterbildung zum Techniker oder Meister im Bereich HLS/TGA Berufserfahrung in der Planung und Projektierung gebäudetechnischer Anlagen Gute Kenntnisse in den Gewerken Heizung, Lüftung und Sanitär Sicherer Umgang mit gängiger Berechnungs- und Planungssoftware Gute MS-Office-Kenntnisse CAD-Kenntnisse sind von Vorteil Gute bis sehr gute Deutschkenntnisse in Wort und Schrift Selbstständige, strukturierte und zuverlässige Arbeitsweise Teamfähigkeit sowie gute Planungs- und Koordinationsfähigkeiten Benefits Abwechslungsreiche und technisch anspruchsvolle Projekte Eine verantwortungsvolle Position mit eigenständigem Aufgabenbereich Ein kollegiales und persönliches Arbeitsumfeld Flache Hierarchien und kurze Entscheidungswege Flexible Arbeitszeiten 1–2 Tage Homeoffice pro Woche 30 Tage Urlaub Attraktive und faire Vergütung Individuelle Weiterbildungs- und Entwicklungsmöglichkeiten Unterstützung bei fachlichen Fortbildungen Gute Vereinbarkeit von Beruf und Privatleben Weitere attraktive Zusatzleistungen Sie möchten Ihre Erfahrung in der technischen Gebäudeausrüstung in abwechslungsreichen Projekten einbringen und suchen eine langfristige Perspektive im Raum München? Dann freuen wir uns auf Ihre Bewerbung. Find more English Speaking Jobs in Germany on Arbeitnow"
Arbeitnow API,https://www.arbeitnow.com/jobs/companies/sunlab-gmbh/ausbildung-zum-kaufmann-zur-kauffrau-fur-marketingkommunikation-aschaffenburg-102779,2026-09-17T09:00:50,Sunlab GmbH,Ausbildung zum Kaufmann / zur Kauffrau für Marketingkommunikation (m/w/d),Marketing and Communication,Aschaffenburg,Apprenticeship,Marketing and Communication,"Hey, wir sind Sunlab – schön, dass du vorbeischaust. Du interessierst dich dafür, warum Menschen bestimmte Produkte kaufen, wie Werbung überzeugt und was hinter erfolgreichen Online-Kampagnen steckt? Unser Ziel ist nicht einfach, Werbung zu schalten – sondern dafür zu sorgen, dass Marketing messbare Ergebnisse liefert. Dafür arbeiten wir mit Daten, Zahlen und verschiedenen digitalen Marketingkanälen. Wir analysieren Kampagnen, optimieren Budgets und treffen Entscheidungen auf Basis von Kennzahlen. Klingt spannend? Dann starte deine Ausbildung bei uns in Aschaffenburg als Kaufmann / Kauffrau für Marketingkommunikation (m/w/d) . Aufgaben Was du bei uns lernst: Wie erfolgreiches Online-Marketing funktioniert – von der ersten Idee bis zur messbaren Kampagne Wie du SEO, SEA und Social Media gezielt einsetzt und Kampagnen datenbasiert optimierst Wie du Zielgruppen analysierst und passende Marketingmaßnahmen entwickelst Wie du mit Zahlen, KPIs und Reportings arbeitest und daraus konkrete Handlungsempfehlungen ableitest Wie du Webseiten und Landingpages erstellst, pflegst und für Nutzer und Suchmaschinen optimierst Wie du Werbekampagnen auf Plattformen wie Google, Facebook und Instagram planst, aufsetzt und kontinuierlich verbesserst Wie du verschiedene Marketing-Tools und Plattformen professionell einsetzt – von WordPress über Google Ads bis zum Meta Business Manager Qualifikation Das bringst du mit: Einen guten Abschluss der Mittleren Reife oder (Fach-) Abitur Spaß an Zahlen, Daten und analytischem Denken Interesse an Internet, Webseiten, Werbung und sozialen Netzwerken Motivation, Neues zu lernen, und eine selbstständige Arbeitsweise Sehr gute Deutsch- und gute Englischkenntnisse Benefits Deine Benefits: Rundum Versorgung im top modernen Headquarter am bayerischen Untermain, Fitnessraum, Gaming Room auf über 1.600 qm uvm. Flache Hierarchien &#x26; kurze Entscheidungswege Ein starkes Onboarding, regelmäßige Weiterbildungen &#x26; Konferenzen Also, worauf wartest du? Starte deine Ausbildung bei uns und werde Schritt für Schritt zum Marketing-Experten. Wir freuen uns schon darauf, dich kennenzulernen! Julia und das Team von Sunlab Find more English Speaking Jobs in Germany on Arbeitnow"
Arbeitnow API,https://www.arbeitnow.com/jobs/companies/prime-hr-agentur/buchhalter-mieten-munich-355382,2026-09-17T09:00:50,PRIME HR Agentur®,Buchhalter Mieten (m/w/d),Finance,Munich,,Finance,"Im Direktauftrag suchen wir für unseren Kunden eine/n Buchhalter für Immobilien (m/w/d) am Standort München in Direktvermittlung. Unser Kunde ist eine feste Größe in der Immobilienwirtschaft und stellt Investoren aller Stufen der Wertschöpfungskette hinweg zur Verfügung. Beginnend bei dem Ankauf und Verkauf von Wohnimmobilienbeständen, weiterführend über das Portfolio- und Asset-Management bis hin zum späteren gewinnbringendem Ausstieg, werden alle Bereiche umfasst. Hervorzuheben ist das wahrhaft charismatische und mit vielen Jahren Branchen-und Berufserfahrung gespickte Führungsteam, welche unter etablierten als euch bei neuen Mitarbeitern einen hervorragenden Ruf genießen. Das circa 40 köpfige Team arbeitet im Schulterschluss zusammen und fördert die eigene Weiterentwicklung. Neben der klassischen Immobilienverwaltung, steht als zweite Säule der Bereich Vermietung und Verkauf eine tragende Rolle. Aufgaben Sie berbeiten die laufende Mietbuchhaltung Sie sind in der Erstellung und Bearbeitung der offenen Posten eingebunden Sie verantworten auf dieser Position die korrekte Durchführung des Mahnlaufs Die Abwicklung des Zahlungsverkehrs gehört zu Ihrem Aufgabenbereich Sie erstellen die monatlichen Abrechnungen für die Eigentümer (SEV) Qualifikation Was wir suchen: Menschen, die über den Tellerrand hinausdenken. Persönlichkeiten mit klarem Blick für Risiken und Chancen. Und den Anspruch, in einem Umfeld zu arbeiten, das genauso ambitioniert ist wie sie selbst. Abgeschlossene Berufsausbildung als Finanzbuchhalter, kaufmännische Ausbildung oder Immobilienkauffmann (m/d/w) Kenntnisse in der Immobilienbuchhaltung oder Finanzbuchhaltung (Quereinsteiger willkommen) Hohe Affinität für Zahlen und eine sorgfältige Arbeitsweise Sehr gute PC-Kenntnisse mit MS-Office Erste Kenntnisse mit Hausbanksoftware von Vorteil, aber kein Muss Benefits Was dich erwartet: Eine zentrale Rolle in einem systemrelevanten Institut Ein professionelles Umfeld mit höchsten Qualitätsansprüchen Die Möglichkeit, deine analytischen Fähigkeiten auf Premium-Niveau einzusetzen Spannende berufliche Perspektiven in einem internationalen, dynamischen, wachsenden Unternehmen mit flachen Hierarchien Mitarbeiterentwicklung: Individuelle Einarbeitung, Präsenzschulungen, eigene University, individuelle Unterstützung bei der Karriereplanung Teamspirit: Regelmäßige Mitarbeiter- und Teamevents, wie Sommerfest und Weihnachtsfeier sorgen für Zusammenhalt Urlaub: Je nach Betriebszugehörigkeit erhältst Du zusätzlich einen weiteren Urlaubstag Hybrides Arbeiten: Du arbeitest von zu Hause oder am Unternehmenssitz Corporate Benefits: Individuelles Gesundheitsbudget und viele andere Vergünstigungen Nachhaltigkeit und soziales Engagement: Unser Kunde steht für papierloses Arbeiten und unterstützt ehrenamtliche Organisationen Du willst Teil von etwas Großem werden – und dabei selbst wachsen? Dann bewirb dich jetzt exklusiv über die PRIME HR Agentur® , deinem Partner für Premium-Karrieren im Finanzsektor. Find more English Speaking Jobs in Germany on Arbeitnow"
Arbeitnow API,https://www.arbeitnow.com/jobs/companies/sic-architekten-gmbh/werkstudent-in-der-gebaudetechnik-heizung-kalte-luftung-sanitar-cologne-131112,2026-09-17T09:00:50,sic architekten gmbh,"Werkstudent (m/w/d) in der Gebäudetechnik (Heizung, Kälte, Lüftung, Sanitär)",Building,Cologne,Working student,Building; Supply; Safety Services Engineering,"Die sic architekten gmbh ist ein innovatives Generalplanungsbüro mit über 40 Jahren Erfahrung. Wir stehen für Qualität, Kompetenz und Zuverlässigkeit – Werte, die sowohl unsere Architektur als auch unsere Unternehmenskultur prägen. In interdisziplinären Teams gestalten wir nachhaltige, funktionale und ästhetische Gebäude – von der ersten Idee bis zur Umsetzung. Bei uns erwartet dich ein Umfeld, das Kreativität und persönliche Entwicklung fördert. Du möchtest die Gebäude von morgen mitgestalten? Dann bewirb dich jetzt als: Werkstudent / Studentische Hilfskraft in der Gebäudetechnik für die Gewerke Heizung, Kälte, Lüftung, Sanitär. Aufgaben Du unterstützt bei der Planung gebäudetechnischer Anlagen (Heizung, Lüftung, Kälte, Sanitär, Brandschutz) Du führst technische Berechnungen (z. B. Heizlast-, Kühllast- und Rohrnetzberechnungen) durch. Durchführung von Bestandsaufnahmen und Pflege von Plan- und Dokumentationsunterlagen. Unterstützung bei Kostenermittlungen, Angebotsvergleichen sowie Aufmaß-, Nachtrags- und Rechnungsprüfungen. Mitwirkung bei Ausschreibungen und technischen Recherchen. Qualifikation Du befindest Dich im laufenden Studium der Energie- und Gebäudetechnik, Verfahrenstechnik oder eines vergleichbaren Studiengangs. Der Umgang mit MS Office (Word, Excel, Project) ist für dich ein Kinderspiel. Deine Arbeitsweise ist präzise, selbstständig und strukturiert. Du besitzt ein hohes Maß an Teamfähigkeit, Engagement und Zuverlässigkeit. Deine Deutschkenntnisse sind mindestens auf dem Niveau C1. Benefits Eine flexible Arbeitszeit mit bis zu 20 Stunden/Woche, die nach Rücksprache an aktuelle Semesterpläne angepasst werden kann. Individuelle Entwicklungsmöglichkeiten und volle Kostenübernahme für Weiterbildungen. Teamgeist, geprägt durch hohe Motivation und gegenseitige Wertschätzung, ergänzt durch regelmäßige Veranstaltungen wie Grillnachmittage und Jahresauftaktfeiern. Mitarbeit an Projekten im Großraum Köln, die die Stadt Köln und die nähere Umgebung maßgeblich prägen. Wir freuen uns auf Deine Bewerbung über das Portal oder per Mail (PDF) mit frühestmöglichem Starttermin und Gehaltsvorstellung. Find more English Speaking Jobs in Germany on Arbeitnow"
Arbeitnow API,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/sachbearbeiter-customer-service-und-kundenbetreuung-munich-411553,2026-09-17T09:00:50,MY Humancapital GmbH,Sachbearbeiter Customer Service und Kundenbetreuung (m/w/d),Customer Service,Munich,,Customer Service,"Im Auftrag unseres Partnerunternehmens suchen wir Sie zum nächstmöglichen Zeitpunkt als „ Sachbearbeiter Customer Service &#x26; Kundenbetreuung (m/w/d) “. Aufgaben Sie betreuen Kunden serviceorientiert zu auftragsbezogenen Fragestellungen in deutscher und englischer Sprache Sie erfassen Aufträge und sorgen für eine ordnungsgemäße Abwicklung sowie Fakturierung Darüber hinaus erstellen und prüfen Sie Kostenvoranschläge und bearbeiten eingehende Kundenrückmeldungen Sie koordinieren die Bearbeitung bestätigter Aufträge und behalten Termine sowie den Bearbeitungsstatus im Blick Zusätzlich unterstützen Sie das Team bei allgemeinen administrativen und organisatorischen Aufgaben Qualifikation Grundlage bildet eine abgeschlossene kaufmännische Ausbildung, beispielsweise als Kaufmann für Büromanagement (m/w/d), Industriekaufmann (m/w/d), Kaufmann im Groß- und Außenhandelsmanagement (m/w/d) oder Kaufmann für Dialogmarketing (m/w/d) Idealerweise bringen Sie Berufserfahrung als Kundenbetreuer (m/w/d), Mitarbeiter Customer Service (m/w/d), Sachbearbeiter Kundenservice (m/w/d) oder Mitarbeiter Vertriebsinnendienst (m/w/d) mit Sie verfügen über eine ausgeprägte Serviceorientierung und Erfahrung im Umgang mit Kundenanfragen sowie in der lösungsorientierten Bearbeitung von Anliegen Zusätzlich sind gute Kenntnisse in MS Office sowie idealerweise Erfahrungen mit SAP wünschenswert Wichtig sind Kommunikationsstärke, Organisationsgeschick, Problemlösungskompetenz sowie gute Englischkenntnisse in Wort und Schrift Benefits Work-Life-Balance : Geregelte Arbeitszeiten von Montag bis Freitag ohne Schichtarbeit Krisensicherheit : Langfristige Jobmöglichkeit bei einem krisensicheren Arbeitgeber Zentrale Lage : Moderne Büroräumlichkeiten im Herzen von München mit optimaler Verkehrsanbindung Modernes Umfeld : Sie erwartet eine moderne Arbeitsumgebung mit neuester Technik Weiterentwicklung : Auf Sie warten zahlreiche interne und externe Weiterbildungs- und Entwicklungsmöglichkeiten Sie finden das Stellenprofil interessant? Dann freuen wir uns auf Ihre Bewerbung. Für Rückfragen steht Ihnen Kaan Akdemir gerne unter 089 954 287 109 zur Verfügung. Find Jobs in Germany on Arbeitnow"
